City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
201,Kalmar,SE,56.6616,16.3616,38.97,92,0,8.05,clear sky
202,Troitskoye,RU,52.9821,84.6757,24.91,94,100,10.8,light snow
203,Lebu,CL,-37.6167,-73.65,56.03,92,97,5.86,overcast clouds
204,Garowe,SO,8.4054,48.4845,68.09,69,65,11.97,broken clouds
205,Paamiut,GL,61.994,-49.6678,8.28,89,100,16.37,light snow
206,Buala,SB,-8.145,159.5921,79.54,85,100,3.78,light rain
207,Bandar-E Anzali,IR,37.4727,49.4622,42.91,83,100,2.33,overcast clouds
208,Verkhoturye,RU,58.8627,60.8054,4.69,95,95,3.27,overcast clouds
209,Boende,CD,-0.2167,20.8667,71.33,91,99,2.93,overcast clouds
210,Salekhard,RU,66.53,66.6019,-19.01,100,99,3.09,overcast clouds
211,Isangel,VU,-19.55,169.2667,89.71,66,20,4.61,few clouds
212,Kamaishi,JP,39.2667,141.8833,39.78,42,7,2.8,clear sky
213,Iqaluit,CA,63.7506,-68.5145,-22.88,96,100,3.91,overcast clouds
214,Fortuna,US,40.5982,-124.1573,49.42,96,100,0.0,overcast clouds
215,Mponela,MW,-13.5319,33.7401,66.29,99,100,1.72,light rain
216,New Norfolk,AU,-42.7826,147.0587,71.65,48,76,1.99,broken clouds
217,Evensk,RU,61.95,159.2333,4.53,66,17,12.15,few clouds
218,Viesite,LV,56.3475,25.5551,29.44,83,100,9.57,overcast clouds
219,Baruun-Urt,MN,46.6806,113.2792,-5.35,77,42,4.21,scattered clouds
220,Lethem,GY,3.3803,-59.7968,76.06,79,44,11.59,scattered clouds
221,Mabaruma,GY,8.2,-59.7833,70.0,96,97,2.71,overcast clouds
222,Half Moon Bay,US,37.4636,-122.4286,63.63,75,0,17.27,clear sky
223,Yelizovo,RU,53.1873,158.3805,23.14,62,75,6.71,broken clouds
224,Bubaque,GW,11.2833,-15.8333,77.94,59,0,3.02,clear sky
225,Saldanha,ZA,-33.0117,17.9442,64.44,84,0,10.36,clear sky
226,Arman,RU,59.7,150.1667,10.02,76,97,7.78,overcast clouds
227,Taperoa,BR,-7.2075,-36.8267,70.9,86,48,6.64,scattered clouds
228,Muzhi,RU,65.3667,64.6667,-19.91,100,100,3.44,overcast clouds
229,Lagoa,PT,39.05,-27.9833,56.37,59,74,2.71,broken clouds
230,Farafangana,MG,-22.8167,47.8333,77.59,85,16,3.02,few clouds
231,Bredasdorp,ZA,-34.5322,20.0403,67.28,70,100,17.43,overcast clouds
232,Tual,ID,-5.6667,132.75,81.09,75,84,7.76,broken clouds
233,Biedenkopf,DE,50.9167,8.5333,43.61,88,99,8.59,overcast clouds
234,Mattru,SL,7.6244,-11.8332,72.57,98,21,0.58,light rain
235,Almeirim,BR,-1.5233,-52.5817,73.17,95,82,2.39,broken clouds
236,Lata,PT,40.1629,-8.3327,53.82,97,40,1.5,scattered clouds
237,Nuevo Progreso,MX,23.1667,-97.95,54.59,54,98,2.64,overcast clouds
238,Aswan,EG,24.0934,32.907,56.59,34,0,9.48,clear sky
239,Margate,GB,51.3813,1.3862,46.96,85,100,5.01,overcast clouds
240,Namibe,AO,-15.1961,12.1522,72.79,86,92,1.68,overcast clouds
241,Klaksvik,FO,62.2266,-6.589,34.72,62,100,25.88,overcast clouds
242,Xuddur,SO,4.1213,43.8894,71.02,67,100,20.4,overcast clouds
243,Nieves,PH,15.3274,120.9485,90.1,48,85,4.09,overcast clouds
244,Ha Giang,VN,22.8333,104.9833,68.95,66,71,4.23,broken clouds
245,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,19.57,few clouds
246,Vilyuysk,RU,63.7553,121.6247,-11.97,95,100,0.96,overcast clouds
247,Kanbe,MM,16.7053,96.0017,86.05,17,33,7.58,scattered clouds
248,Makokou,GA,0.5738,12.8642,69.19,97,100,2.3,overcast clouds
249,Morondava,MG,-20.2833,44.2833,80.44,84,31,7.52,light rain
250,Kaitangata,NZ,-46.2817,169.8464,61.93,74,99,6.31,overcast clouds
251,Torbay,CA,47.6666,-52.7314,29.28,90,100,9.22,light snow
252,Minudasht,IR,37.2289,55.3747,44.15,83,100,2.48,overcast clouds
253,Pisco,PE,-13.7,-76.2167,68.05,77,0,4.61,clear sky
254,Weligama,LK,5.9667,80.4167,83.16,64,53,1.86,broken clouds
255,Surt,LY,31.2089,16.5887,53.17,66,0,10.07,clear sky
256,Menongue,AO,-14.6585,17.691,62.55,95,100,3.96,light rain
257,Krasnoselkup,RU,65.7,82.4667,-1.16,90,43,15.37,scattered clouds
258,Tazovskiy,RU,67.4667,78.7,-5.22,96,87,11.92,overcast clouds
259,Ancud,CL,-41.8697,-73.8203,55.42,94,32,3.62,scattered clouds
260,Lazarev,RU,52.225,141.5131,-1.7,93,47,9.89,scattered clouds
261,Yeppoon,AU,-23.1333,150.7333,87.58,73,40,20.31,scattered clouds
262,Joshimath,IN,30.5667,79.5667,54.73,29,0,3.67,clear sky
263,Acarau,BR,-2.8856,-40.12,78.06,85,40,10.16,scattered clouds
264,Auki,SB,-8.7676,160.7034,78.75,86,100,3.29,overcast clouds
265,Pershotravneve,UA,51.3929,28.8684,28.04,70,12,8.7,few clouds
266,Warrnambool,AU,-38.3833,142.4833,76.8,70,53,12.84,broken clouds
267,Fort Nelson,CA,58.8053,-122.7002,1.51,100,100,2.19,overcast clouds
268,Nanortalik,GL,60.1432,-45.2371,18.12,82,100,29.33,light snow
269,Saskylakh,RU,71.9167,114.0833,-13.95,95,21,4.23,few clouds
270,Faya,SA,18.3851,42.4509,50.52,54,7,2.82,clear sky
271,Luderitz,NA,-26.6481,15.1594,70.07,72,0,8.19,clear sky
272,Ukiah,US,39.1502,-123.2078,62.02,72,0,0.0,clear sky
273,Morehead,US,37.2711,-87.1764,27.0,79,0,1.01,clear sky
274,Miles City,US,46.4083,-105.8406,40.51,55,100,4.61,overcast clouds
275,Ambilobe,MG,-13.2,49.05,78.28,83,15,1.68,few clouds
276,Atar,MR,20.5169,-13.0499,63.32,22,99,8.48,overcast clouds
277,Saint George,US,37.1041,-113.5841,56.53,27,0,3.44,clear sky
278,Toktogul,KG,41.8708,72.9402,29.21,95,99,0.34,light snow
279,Bail Hongal,IN,15.8167,74.8667,76.24,30,11,11.07,few clouds
280,Cayenne,GF,4.9333,-52.3333,78.1,88,75,3.44,broken clouds
281,Acapulco,MX,16.8634,-99.8901,78.62,83,75,2.3,broken clouds
282,Lungi,SL,9.2212,-12.6831,71.55,89,33,1.19,scattered clouds
283,Truth Or Consequences,US,33.1284,-107.2528,48.43,25,0,0.0,clear sky
284,Ahipara,NZ,-35.1667,173.1667,69.78,60,10,12.57,clear sky
285,Ayan,RU,56.45,138.1667,2.71,73,8,0.34,clear sky
286,Umm Lajj,SA,25.0213,37.2685,67.08,26,0,7.16,clear sky
287,Biak,ID,-0.9131,122.8766,82.6,68,63,1.05,broken clouds
288,Honiara,SB,-9.4333,159.95,81.34,85,99,3.96,overcast clouds
289,Newtownards,GB,54.5924,-5.6909,42.75,88,40,9.22,light rain
290,Ouargaye,BF,11.5033,0.0572,73.85,14,8,8.12,clear sky
291,Coihaique,CL,-45.5752,-72.0662,55.35,62,88,3.44,overcast clouds
292,Bambui,BR,-20.0064,-45.9769,65.46,96,15,0.96,few clouds
293,Hobyo,SO,5.3505,48.5268,78.49,63,42,19.62,scattered clouds
294,Yambio,SS,4.5721,28.3955,73.76,33,62,2.06,broken clouds
295,Whitehorse,CA,60.7161,-135.0538,7.0,99,99,1.81,overcast clouds
296,Hongjiang,CN,27.11,109.9956,54.75,63,50,2.86,scattered clouds
297,Vetluga,RU,57.8557,45.781,20.3,95,100,9.6,light snow
298,Karasjok,NO,69.4719,25.5112,23.11,100,94,3.27,overcast clouds
299,Maragogi,BR,-9.0122,-35.2225,78.35,76,55,8.03,broken clouds
300,Newport,GB,51.5877,-2.9984,45.45,85,100,1.99,overcast clouds
301,Blythe,US,33.6103,-114.5964,55.85,11,0,6.91,clear sky
302,Saint Anthony,US,45.0205,-93.218,8.53,78,100,11.5,light snow
303,Radford,US,37.1318,-80.5764,27.64,69,100,4.61,overcast clouds
304,Mongagua,BR,-24.0931,-46.6208,77.94,89,2,2.77,clear sky
305,Lamar,US,33.6668,-95.5836,47.52,52,0,3.44,clear sky
306,Valparaiso,CL,-33.0393,-71.6273,66.47,80,0,4.61,clear sky
307,Novyy Urengoy,RU,66.0833,76.6333,-12.23,99,89,8.41,overcast clouds
308,Mandurah,AU,-32.55,115.7,98.22,55,0,12.86,clear sky
309,Nome,US,64.5011,-165.4064,-9.33,70,0,5.75,clear sky
310,Blind River,CA,46.1834,-82.9582,-3.32,95,13,0.83,few clouds
311,Hoi An,VN,15.8794,108.335,73.36,86,100,6.11,overcast clouds
312,Dudinka,RU,69.4058,86.1778,-14.51,91,43,5.66,scattered clouds
313,Pokrovsk,UA,48.282,37.1758,25.2,86,6,3.09,clear sky
314,Pandamatenga,BW,-18.5278,25.627,65.77,80,1,3.6,clear sky
315,Sibolga,ID,1.7427,98.7792,86.45,62,66,4.92,broken clouds
316,Alice Springs,AU,-23.7,133.8833,98.15,20,0,11.5,clear sky
317,Maxixe,MZ,-23.8597,35.3472,78.62,89,20,4.61,few clouds
318,Amga,RU,60.8953,131.9608,-5.69,87,100,1.79,overcast clouds
319,Lompoc,US,34.6391,-120.4579,61.57,100,100,3.44,fog
320,Ketchikan,US,55.3422,-131.6461,42.78,87,100,4.61,light rain
321,Aktau,KZ,43.65,51.2,27.18,59,15,1.79,few clouds
322,Poum,NC,-20.2333,164.0167,82.65,77,95,8.84,overcast clouds
323,Port-Gentil,GA,-0.7193,8.7815,80.65,77,100,6.06,overcast clouds
324,Parry Sound,CA,45.3501,-80.033,-17.46,99,24,4.79,few clouds
325,Poroshkovo,UA,48.6683,22.7533,30.34,90,30,2.98,scattered clouds
