City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
182,Sorland,NO,2022-02-13 14:54:37,67.667,12.6934,32.85,60,100,29.66
183,Mamallapuram,IN,2022-02-13 14:54:38,12.6264,80.1722,81.05,74,21,11.54
184,Margate,GB,2022-02-13 14:54:38,51.3813,1.3862,48.06,70,100,11.99
185,Vardo,NO,2022-02-13 14:54:38,70.3705,31.1107,22.64,74,100,16.11
186,Maltahohe,NA,2022-02-13 14:54:39,-24.8333,16.9833,83.46,34,100,4.7
187,Gotsu,JP,2022-02-13 14:54:39,35.0,132.2167,42.64,79,100,9.28
188,Quelimane,MZ,2022-02-13 14:54:39,-17.8786,36.8883,80.55,88,75,9.22
189,Kamenka,RU,2022-02-13 14:54:40,51.3223,42.7678,21.45,93,36,9.93
190,Dudinka,RU,2022-02-13 14:54:40,69.4058,86.1778,-4.77,78,10,11.32
191,Bowen,AU,2022-02-13 14:54:40,-20.0167,148.2333,73.62,77,19,17.02
192,Touros,BR,2022-02-13 14:49:46,-5.1989,-35.4608,86.9,62,16,11.83
193,Huilong,CN,2022-02-13 14:52:50,31.8111,121.655,45.03,81,100,8.43
194,Acarau,BR,2022-02-13 14:54:41,-2.8856,-40.12,86.16,63,89,14.97
195,Krasnyy Kut,RU,2022-02-13 14:54:41,50.95,46.9667,19.9,91,7,11.59
196,Ishigaki,JP,2022-02-13 14:54:41,24.3448,124.1572,67.64,86,100,29.75
197,Hambantota,LK,2022-02-13 14:54:42,6.1241,81.1185,79.14,89,40,5.75
198,Dikson,RU,2022-02-13 14:54:42,73.5069,80.5464,-3.55,87,100,26.91
199,Fuengirola,ES,2022-02-13 14:54:42,36.54,-4.6247,63.28,82,40,6.91
200,Miraflores,MX,2022-02-13 14:54:43,19.2167,-98.8083,57.87,70,91,4.63
201,Ambovombe,MG,2022-02-13 14:54:43,-25.1667,46.0833,78.31,83,10,19.71
202,Ilulissat,GL,2022-02-13 14:54:23,69.2167,-51.1,10.27,88,100,8.16
203,Saint-Gaudens,FR,2022-02-13 14:54:43,43.0833,0.6667,62.33,53,37,6.82
204,Fort Saint James,CA,2022-02-13 14:54:44,54.4333,-124.25,25.21,98,100,1.25
205,Koumac,NC,2022-02-13 14:54:44,-20.5667,164.2833,78.76,83,100,3.98
206,Namibe,AO,2022-02-13 14:54:44,-15.1961,12.1522,79.23,65,100,10.29
207,Gummidipundi,IN,2022-02-13 14:54:45,13.4,80.15,80.98,77,24,7.76
208,Kangaatsiaq,GL,2022-02-13 14:54:45,68.3065,-53.4641,7.47,91,100,13.73
209,Itoman,JP,2022-02-13 14:54:45,26.1247,127.6694,66.22,94,100,11.5
210,Faanui,PF,2022-02-13 14:54:46,-16.4833,-151.75,81.05,73,100,12.97
211,Yarada,IN,2022-02-13 14:54:46,17.65,83.2667,75.52,60,20,3.44
212,Gondar,ET,2022-02-13 14:54:46,12.6,37.4667,73.96,23,90,12.91
213,Bairiki,KI,2022-02-13 14:54:47,1.3292,172.9752,80.6,78,40,3.44
214,Smithers,CA,2022-02-13 14:54:47,54.7804,-127.1743,25.12,93,75,0.0
215,Esperance,AU,2022-02-13 14:54:47,-33.8667,121.9,62.44,69,0,15.66
216,Mutare,ZW,2022-02-13 14:54:48,-18.9707,32.6709,76.66,59,43,5.79
217,Umm Kaddadah,SD,2022-02-13 14:54:48,13.6017,26.6876,84.43,7,8,19.37
218,Latung,PH,2022-02-13 14:54:48,5.5,120.8833,81.84,75,100,6.89
219,Bethel,US,2022-02-13 14:54:49,41.3712,-73.414,31.59,82,100,6.91
220,Xunchang,CN,2022-02-13 14:54:49,28.4543,104.715,50.18,76,0,3.69
221,Sampit,ID,2022-02-13 14:54:49,-2.5333,112.95,75.4,93,99,1.79
222,Springbok,ZA,2022-02-13 14:54:50,-29.6643,17.8865,85.66,30,56,18.01
223,Buinsk,RU,2022-02-13 14:54:50,54.95,48.2833,26.49,95,97,8.32
224,Nome,US,2022-02-13 14:54:50,64.5011,-165.4064,-14.89,75,4,5.21
